HEADER
LISTA DEL SORTEO EXTRAORDINARIO NO. 410
|PRIMER PREMIO 06857 ||| SEGUNDO PREMIO 12146 ||| TERCER PREMIO 31837|
REINTEGROS 7,6 ,7
FECHA DEL SORTEO: 11/04/2026 --- FECHA DE CADUCIDAD: 12/10/2026
VER LISTA DE COMBINACIONES

BODY
CENTENARES
12132 C .... 1,000.00
12133 C .... 1,000.00
12134 C .... 1,000.00
12135 C .... 1,000.00
12136 CR .... 1,150.00
12137 CDR .... 1,300.00
12138 C .... 1,000.00
12139 C .... 1,000.00
12140 C .... 1,000.00
12141 C .... 1,000.00
12142 C .... 1,000.00
12143 C .... 1,000.00
12144 P .... 10,000.00
VENDIDO POR ANA ESPERANZA RAMOS MAZARIEGOS DE CHIROY, DE ESTA CAPITAL
12145 P .... 10,000.00
VENDIDO POR REINA PÉREZ MAZARIEGOS DE BARRIOS, DE ESTA CAPITAL
12146 P .... 300,000.00
VENDIDO POR ISABEL LUX US, DE ESTA CAPITAL
12147 PDR .... 10,300.00
VENDIDO POR PERSONA CON DISCAPACIDAD VISUAL IRIS ANALY PÉREZ HERNÁNDEZ, DE ESTA CAPITAL
12148 P .... 10,000.00
VENDIDO POR MIREYA RAQUEL CASTILLO AMBROSY DE OCHOA, DE HUEHUETENANGO, HUEHUETENANGO
12149 C .... 1,000.00
12150 C .... 1,000.00
12151 C .... 1,000.00
12152 C .... 1,000.00
12153 C .... 1,000.00
12154 C .... 1,000.00
12155 C .... 1,000.00
12156 CR .... 1,150.00
12157 CDTR .... 1,750.00
12158 C .... 1,000.00
12159 C .... 1,000.00
12160 C .... 1,000.00
12161 C .... 1,000.00
12162 C .... 1,000.00
12163 C .... 1,000.00
12164 C .... 1,000.00
12165 C .... 1,000.00
12166 CR .... 1,150.00
12167 CDR .... 1,300.00
12168 C .... 1,000.00
12169 C .... 1,000.00
12170 C .... 1,000.00
12171 C .... 1,000.00
12172 C .... 1,000.00
12173 C .... 1,000.00
12174 C .... 1,000.00
12175 C .... 1,000.00
12176 CR .... 1,150.00
