HEADER
LISTA DEL SORTEO ORDINARIO NO. 3085
|PRIMER PREMIO 36568 ||| SEGUNDO PREMIO 71693 ||| TERCER PREMIO 02141|
REINTEGROS 8,3 ,1
FECHA DEL SORTEO: 31/05/2025 --- FECHA DE CADUCIDAD: 01/12/2025
VER LISTA DE COMBINACIONES

BODY
CENTENARES
36585 C .... 700.00
36586 C .... 700.00
36587 C .... 700.00
36588 CR .... 770.00
36589 C .... 700.00
36590 C .... 700.00
36591 CR .... 770.00
36592 C .... 700.00
36593 CR .... 770.00
36594 C .... 700.00
36595 C .... 700.00
36596 C .... 700.00
36597 C .... 700.00
36598 CR .... 770.00
36599 C .... 700.00
36600 C .... 700.00
36693 TT .... 600.00

TREINTA Y SIETE MIL
37007 P .... 1,000.00
37141 TT .... 500.00
37347 P .... 5,000.00
VENDIDO POR ANTONIO TUY PÉREZ, DE RETALHULEU, RETALHULEU
37429 P .... 700.00
37518 PR .... 2,570.00
VENDIDO POR GUADALUPE CRISTINA PACHECO SOCH, DE ESTA CAPITAL
37541 PR .... 670.00
37545 P .... 1,000.00
37568 TT .... 700.00
37693 TT .... 600.00
37746 P .... 2,000.00
VENDIDO POR RAFAEL PERÉZ URLA, DE ESTA CAPITAL

TREINTA Y OCHO MIL
38141 TT .... 500.00
38419 P .... 600.00
38443 PR .... 770.00
38484 P .... 2,000.00
VENDIDO POR PERSONA CON DISCAPACIDAD VISUAL IRZI EZAU ANDRADE LÓPEZ, DE ANTIGUA GUATEMALA, SACATEPÉQUEZ
38568 TT .... 700.00
38693 TT .... 600.00
38732 P .... 600.00
38802 P .... 1,000.00
38881 PR .... 1,070.00
38932 P .... 600.00

TREINTA Y NUEVE MIL
39141 TT .... 500.00
39532 P .... 600.00
39568 TT .... 700.00
39693 PTT .... 1,300.00
39878 PR .... 1,070.00
39987 P .... 600.00

CUARENTA MIL
40141 TT .... 500.00
40568 TT .... 700.00
40693 TT .... 600.00

CUARENTA Y UN MIL
41064 P .... 3,000.00
VENDIDO POR JUAN MOISES GUTIERREZ GUTIERREZ, DE ESCUINTLA, ESCUINTLA
41102 P .... 700.00
