HEADER
LISTA DEL SORTEO EXTRAORDINARIO NO. 395
|PRIMER PREMIO 55049 ||| SEGUNDO PREMIO 77155 ||| TERCER PREMIO 04765|
REINTEGROS 9,5 ,5
FECHA DEL SORTEO: 23/11/2024 --- FECHA DE CADUCIDAD: 23/05/2025
VER LISTA DE COMBINACIONES

BODY
CENTENARES
27279 PR .... 1,450.00
27349 DT .... 600.00
27449 DT .... 600.00
27549 DT .... 600.00
27649 DT .... 600.00
27749 DT .... 600.00
27765 TTR .... 1,050.00
27849 DT .... 600.00
27949 DT .... 600.00

VEINTIOCHO MIL
28028 P .... 1,300.00
28038 P .... 800.00
28049 TT .... 1,200.00
28149 DT .... 600.00
28155 TTR .... 1,150.00
28236 P .... 800.00
28249 DT .... 600.00
28300 P .... 5,000.00
VENDIDO POR BALTAZAR IMUL PÚ, DE ESTA CAPITAL
28320 P .... 1,300.00
28349 DT .... 600.00
28449 DT .... 600.00
28549 DT .... 600.00
28649 DT .... 600.00
28749 DT .... 600.00
28765 TTR .... 1,050.00
28849 DT .... 600.00
28949 DT .... 600.00
28979 PR .... 750.00

VEINTINUEVE MIL
29049 TT .... 1,200.00
29149 DT .... 600.00
29155 TTR .... 1,150.00
29212 P .... 600.00
29249 DT .... 600.00
29349 DT .... 600.00
29391 P .... 600.00
29449 DT .... 600.00
29549 DT .... 600.00
29615 PDR .... 2,300.00
VENDIDO POR FABIAN CHIC CHIPEL, DE ESTA CAPITAL
29649 DT .... 600.00
29744 P .... 2,000.00
VENDIDO POR DAGOBERTO JULIAN BARILLAS GUERRA, DE PUERTO BARRIOS, IZABAL
29749 DT .... 600.00
29765 TTR .... 1,050.00
29846 P .... 600.00
29849 DT .... 600.00
29949 DT .... 600.00
29968 P .... 800.00

TREINTA MIL
30049 TT .... 1,200.00
30149 DT .... 600.00
30155 TTR .... 1,150.00
30249 DT .... 600.00
30349 DT .... 600.00
30449 DT .... 600.00
30471 P .... 800.00
30526 P .... 800.00
30540 P .... 800.00
30549 DT .... 600.00
30571 P .... 1,200.00
30649 DT .... 600.00
30739 PR .... 950.00
30749 DT .... 600.00
30765 TTR .... 1,050.00
30791 P .... 1,200.00
30849 DT .... 600.00
30949 DT .... 600.00

TREINTA Y UN MIL
31049 TT .... 1,200.00
31149 DT .... 600.00
31155 TTR .... 1,150.00
31216 P .... 1,300.00
31249 DT .... 600.00
31349 DT .... 600.00
31449 DT .... 600.00
31545 PDR .... 1,100.00
31549 DT .... 600.00
31564 P .... 600.00
31649 DT .... 600.00
31749 DT .... 600.00
31765 TTR .... 1,050.00
31849 DT .... 600.00
31949 DT .... 600.00

TREINTA Y DOS MIL
32049 TT .... 1,200.00
32149 DT .... 600.00
32155 TTR .... 1,150.00
32249 DT .... 600.00
32349 DT .... 600.00
32368 P .... 800.00
32440 P .... 1,200.00
32449 DT .... 600.00
32549 PDT .... 1,400.00
32649 DT .... 600.00
32749 DT .... 600.00
32765 TTR .... 1,050.00
32849 DT .... 600.00
32949 DT .... 600.00

TREINTA Y TRES MIL
33049 TT .... 1,200.00
33149 DT .... 600.00
33155 TTR .... 1,150.00
33186 P .... 600.00
33249 DT .... 600.00
33349 DT .... 600.00
33449 DT .... 600.00
33549 DT .... 600.00
33585 PDR .... 1,100.00
33649 DT .... 600.00
33712 P .... 600.00
